"Latitude","Longitude","deviceSignalStrength","latencyAverage","downloadSpeed","uploadSpeed"
"36.99","-104.48",-82,747,131.88,0
"37.01","-104.48",-81,331.7333333333,184.97,115.46
"37.02","-104.49",-64,262.4,1724.43,242.38
"37.02","-104.5",-64,218.8,1664.72,251.52
"37.02","-107.44",-92,232,,
"37.02","-107.45",-92,,0,0
"37.02","-107.47",-101,253,990.48,83.28
"37.02","-107.49",-92,236,,
"37.02","-107.87",-91,754.33,930.82,89.35
"37.02","-107.88",-97,167.13,1429.36,324.95
"37.03","-104.5",-72,,268.86,96.945
"37.03","-104.51",-56,231.3,1998.785,246.6
"37.03","-107.52",-101,276,,
"37.03","-107.87",-102,162,,
"37.04","-104.51",-76.4,,,
"37.04","-107.53",-92,212,500.64,84.24
"37.04","-107.87",-83,153.99,4530.13,313.12
"37.05","-104.52",-113,812,0,63.81
"37.05","-107.86",-85.5,220.975,1364.545,815.29
"37.05","-107.87",-113,212,,
"37.06","-104.52",-89,232.9,242.825,86.89
"37.06","-106.05",-53,218.8,773.8,221.21
"37.06","-106.07",-43,253,851.34,231.71
"37.06","-107.87",-113,181,,
"37.07","-104.51",-71.3333333333,214.5333333333,229.3366666667,98.4633333333
"37.07","-106",-98.5,675,130.625,0
"37.07","-106.01",-69,240.8,446.89,160.7
"37.07","-107.59",-76,212,29.28,20.13
"37.07","-107.6",-97,400.7,92.69,169.43
"37.07","-107.87",-95,194.38,1125.58,91.12
"37.08","-107.53",-92,,,
"37.08","-107.8",-93,164.49,3085.38,97.17
"37.08","-107.86",-88,223.94,4602.61,1441.3
"37.09","-107.86",-97,182.57,370.15,363.89
"37","-104.48",-67.5,232.8,628.695,176.075
"37","-105.34",,,13.86,14.6
"37.1","-104.52",-76.2857142857,,,
"37.1","-107.75",-93,240.03,195.59,222.59
"37.1","-107.86",,279.6,,
"37.11","-104.52",-79.25,250.05,209.8,92.9075
"37.11","-106",-84,740.6,122.86,0
"37.11","-107.63",-85.2,255.531,937.877,491.802
"37.11","-107.86",-87,210.365,935.195,403.21
"37.11","-108.16",-113,172,,
"37.11","-108.19",-75,180,,
"37.12","-104.52",-99,218.8,233,45
"37.12","-107.61",-92,173,,
"37.12","-107.62",-101,274,,
"37.12","-107.63",-86.2857142857,409.3471428571,923.2885714286,817.6164285714
"37.12","-107.86",-84,90.91,1334.41,716.7
"37.12","-108.19",-89,1361,,
"37.13","-104.51",-72.25,385.1,321.7175,75.15
"37.13","-104.52",-78.5238095238,328.8285714286,,
"37.13","-107.63",,248.595,622.055,603.76
"37.13","-107.76",-93,180.2,1541.29,317.87
"37.13","-107.78",-93,156.45,1242.49,70.95
"37.13","-107.85",-90,,,
"37.13","-108.13",-75,188,,
"37.14","-104.51",-97,215.6,253.78,57.29
"37.14","-104.52",-76,211.75,466.0925,96.53
"37.14","-107.63",-84.25,186.07,,
"37.14","-107.75",-93,182.58,671.07,17.94
"37.14","-108.12",-113,232,6280.64,1522.36
"37.14","-108.22",-113,256,3107.06,1648.83
"37.15","-104.51",-80,217.4571428571,522.1171428571,150.4828571429
"37.15","-104.52",-74.6666666667,197.8666666667,789.53,243.64
"37.15","-107.58",-101,1082,23.44,15.39
"37.15","-107.63",-95,104.96,650.69,120.26
"37.15","-107.75",,268.295,1158.6275,1060.64
"37.15","-107.86",-113,,,
"37.16","-103.8",-77,,934.84,115.74
"37.16","-104.49",-73.8571428571,271.9142857143,383.4428571429,159.2757142857
"37.16","-104.51",-78.5,320.18,,
"37.16","-104.52",-79.3636363636,232.6727272727,315.5818181818,105.0681818182
"37.16","-105.94",-37,253.2,753.11,195.7
"37.16","-105.99",-82,253.2,286.81,99.02
"37.16","-107.33",-102,4233.5,56.69,0
"37.16","-107.65",-92,319,137.79,45.83
"37.16","-107.7",,448.365,,
"37.16","-107.75",,,342.2790909091,1456.2663636364
"37.16","-107.84",-83,151.95,3425.85,63.81
"37.16","-107.85",-94,187.385,1175.045,199.865
"37.17","-104.48",-83,190.8,2193.29,241.9
"37.17","-104.49",-73,356.3333333333,309.3833333333,82.2766666667
"37.17","-104.5",-77.25,352.625,,
"37.17","-104.51",-70.2,334.88,138.118,128.052
"37.17","-105.93",-76,613.6,460.2166666667,79.65
"37.17","-105.97",-45,225,1527.43,211.47
"37.17","-105.98",-95.5,1156.3,17.675,0
"37.17","-107.67",,117.76,429.23,73.47
"37.17","-107.73",-89,571.55,93.29,59.63
"37.17","-107.75",-93,353.24,7907.74,1291.54
"37.18","-103.7",-77,266.68,3414.99,1209.83
"37.18","-104.48",-65,223.4,1077.365,215.095
"37.18","-104.49",-69,222.7344444444,700.0866666667,205.9411111111
"37.18","-107.57",-90,2671,,
"37.18","-107.6",-93,488.42,113.98,143.79
"37.18","-107.62",,471.95,210.82,132.24
"37.18","-107.64",-91,584.21,169.38,11.885
"37.18","-107.75",-111,,61.445,46.785
"37.18","-107.78",,273.3490384615,1739.725,536.7432692308
"37.18","-107.8",-91,303.79,3478.93,304.23
"37.18","-107.85",-99,252.565,217.67,254.985
"37.18","-108.48",,,0,0
"37.18","-108.69",-65,388.575,155.37,262.11
"37.19","-104.49",-59.6666666667,408.7033333333,684.31,157.9133333333
"37.19","-104.56",,,1105.98,334.06
"37.19","-105.98",-66,209.4,392.22,244.26
"37.19","-107.64",-103,1533.02,149.75,112.28
"37.19","-107.75",,277.05,586.2,161.7533333333
"37.19","-107.76",-89,192.97,2214.51,283.02
"37.19","-107.77",-85.6666666667,418.65,,
"37.19","-107.78",-88.3333333333,170.7711111111,1698.8844444444,896.36
"37.19","-107.79",,204.7533333333,640.23,342.9166666667
"37.19","-107.8",-83,141.48,5595.57,227.61
"37.19","-107.82",-82,224,578.94,67.09
"37.19","-107.85",-91.5,190.66,,
"37.19","-108.05",-95,239.69,0,34.39
"37.19","-108.06",-113,148,,
"37.19","-108.07",-107,276,4586.17,1582.86
"37.19","-108.68",-75,,,
"37.2","-104.49",-75,208.7825,622.6775,534.945
"37.2","-105.42",-75,,,
"37.2","-105.97",-81,218.6,487.09,203.99
"37.2","-107.25",-83,403.75,1.11,23.28
"37.2","-107.3",,1066.4,93.01,0
"37.2","-107.31",-68,470.4,61.45,0
"37.2","-107.32",,,0,0
"37.2","-107.33",,,,
"37.2","-107.78",,444.945,392.34,318.285
"37.2","-107.79",-87,298.628,2531.724,789.058
"37.2","-107.82",-89,198,1171.09,90.05
"37.2","-107.84",-106,279.4,422.41,14.39
"37.2","-107.85",-101,1105.21,796.24,25.05
"37.2","-107.86",-89.7142857143,190.2857142857,,
"37.2","-108.02",,78.26,814.83,481.16
"37.21","-103.58",-77,201.48,1944,419.36
"37.21","-104.49",-69,183.4,912.71,185.355
"37.21","-105.97",-61,245.3,817.05,245.67
"37.21","-107.05",-71,367.61,88.5,154.06
"37.21","-107.23",,1735.3,34.48,28.265
"37.21","-107.26",-73,465.145,98.86,26.53
"37.21","-107.58",,217.16,1781.07,913.61
"37.21","-107.59",-90,368,43.57,17.77
"37.21","-107.63",-96.5,,,
"37.21","-107.64",,,739.74,205.7775
"37.21","-107.65",-96.5,863.745,37.81,4.21
"37.21","-107.71",-87,1978.0133333333,229.6266666667,112.5
"37.21","-107.79",,,1542.9028205128,512.1871794872
"37.21","-107.8",-97.5,272.615,170.18,159.135
"37.21","-107.81",-87,358.665,2700.705,1108.19
"37.21","-107.82",-91,611,,
"37.21","-107.83",-96,237.56,99.06,7.13
"37.21","-107.84",-81,293,,
"37.21","-107.85",,277.3875,,
"37.21","-107.86",-96,221,1274.47,72.71
"37.21","-107.99",-113,114,,
"37.22","-104.49",-74,439,600.3025,200.2075
"37.22","-107.05",-84.5,229.3975,375.015,327.5825
"37.22","-107.11",-103,111.16,190.94,451.65
"37.22","-107.2",-84,90.75,398.09,0
"37.22","-107.21",-73,354,,
"37.22","-107.36",-63,,0,0
"37.22","-107.37",-106,,667.05,9.745
"37.22","-107.6",,,814.4358823529,562.6382352941
"37.22","-107.61",-78.6,2361.194,,
"37.22","-107.62",-85.7142857143,305.3928571429,,
"37.22","-107.63",-93.4,198.942,,
"37.22","-107.65",-88,263.96,985.14,263.53
"37.22","-107.66",,266.37,,
"37.22","-107.67",-83,192.62,269.13,232.17
"37.22","-107.68",-103,236.41,217.52,81.24
"37.22","-107.69",-91.2857142857,876.9457142857,,
"37.22","-107.7",,307.465,352.225,349.5225
"37.22","-107.71",-87,,,
"37.22","-107.72",,305.724,,
"37.22","-107.73",,218.146,1565.482,497.926
"37.22","-107.74",-86,348.7942857143,,
"37.22","-107.75",-86,85.59,2080.95,238.51
"37.22","-107.77",-75.6666666667,974.55,,
"37.22","-107.78",-86.5,468.8975,774.1975,634.7075
"37.22","-107.79",,,,
"37.22","-107.8",,230.487,,
"37.22","-107.81",,,,
"37.22","-107.82",,,,
"37.22","-107.83",,,,
"37.22","-107.84",,366.827,,
"37.22","-107.85",,,,
"37.22","-107.86",,,,
"37.22","-107.87",,,565.36,644.695
"37.22","-107.88",,,1736.4925,457.375
"37.23","-104.28",,,395.26,76.85
"37.23","-104.52",-88,173.97,61.56,66.58
"37.23","-107.03",-71,177.02,416.56,457.2
"37.23","-107.07",-88,179.17,72.69,64.57
"37.23","-107.08",,514.6,109.34,47.74
"37.23","-107.09",-99,289.06,266.31,62.45
"37.23","-107.1",-83.75,237.13,,
"37.23","-107.11",-96.5,3296.15,120.4075,95.53
"37.23","-107.12",,464.8033333333,,
"37.23","-107.13",,151.585,761.88,354.515
"37.23","-107.15",-81.5,147.175,,
"37.23","-107.16",,362.578,,
"37.23","-107.17",-93.4,276.348,,
"37.23","-107.18",,357.2,127.51,0
"37.23","-107.37",-89,235,64.73,58.9
"37.23","-107.39",-102.6666666667,,,
"37.23","-107.4",-89,538,122.67,0
"37.23","-107.41",-89,,,
"37.23","-107.42",,2207.875,84.975,120.205
"37.23","-107.43",-100,579.63,19.06,23.95
"37.23","-107.57",-67,,2414.09,0
"37.23","-107.58",,291.8033333333,,
"37.23","-107.59",,,,
"37.23","-107.6",,,,
"37.23","-107.61",-103,202,,
"37.23","-107.68",-113,235.71,5031.94,1274.01
"37.23","-107.69",-73,200.5,,
"37.23","-107.74",-113,225,,
"37.23","-107.75",-96,307,220.24,31.73
"37.23","-107.76",-74.6666666667,352.4133333333,548.7633333333,390.4066666667
"37.23","-107.77",-94.5,187.54,,
"37.23","-107.78",,398.3625,,
"37.23","-107.79",,431.375,,
"37.23","-107.8",-93,102.17,1064.52,720.54
"37.23","-107.81",-88.6721311475,233.9563934426,,
"37.23","-107.82",,203.6122988506,,
"37.23","-107.83",-90.4444444444,204.65,,
"37.23","-107.84",-78,105.635,3923.685,4003.06
"37.23","-107.85",,149.03,2064.48,2545.655
"37.23","-107.86",,,,
"37.23","-107.87",,,,
"37.23","-107.88",-88,89.88,5163.64,6204.47
"37.23","-107.89",-101,177,,
"37.23","-107.9",,,2560.69,725.47
"37.23","-107.91",,,2737.54,925.01
"37.23","-107.93",-113,233,,
"37.23","-107.94",,,,
"37.23","-107.95",-99.3181818182,,,
"37.23","-107.96",-88,254.13,,
"37.23","-107.97",-88,193.975,936.55,528.18
"37.24","-107.08",-85.5,1660.81,,
"37.24","-107.09",,402.8328571429,268.4457142857,284.3228571429
"37.24","-107.1",-73,172.86,768.16,301.95
"37.24","-107.14",-90,,,
"37.24","-107.15",,369.565,34.9,0
"37.24","-107.43",,,,
"37.24","-107.57",-94.6666666667,312.2466666667,145.5066666667,100.03
"37.24","-107.58",-91.6666666667,,1409.9833333333,1277.7966666667
"37.24","-107.59",-85.7142857143,297.9942857143,,
"37.24","-107.6",,379.8233333333,,
"37.24","-107.79",-99,1417.66,83.31,113.12
"37.24","-107.8",-89,435,,
"37.24","-107.82",,176.5733333333,2417.1419444444,921.2608333333
"37.24","-107.83",-91,262,,
"37.24","-107.84",,,,
"37.24","-107.85",,210.91,1051.27,640.71
"37.24","-107.86",,,,
"37.24","-107.87",,,,
"37.24","-107.88",-101,3177.8,,
"37.24","-107.89",-103,199.5,,
"37.24","-107.9",-96,950.64,,
"37.24","-107.91",-113,174,,
"37.24","-107.92",,2245.946,,
"37.24","-107.93",,,,
"37.24","-107.94",,,,
"37.24","-107.95",,,,
"37.24","-107.96",,213.5556140351,440.0031578947,460.2878947368
"37.24","-108.65",-80,185.05,618.7,730.44
"37.25","-104.5",,579.67,2422.65,62.2566666667
"37.25","-107.01",-77.8571428571,224.6828571429,,
"37.25","-107.06",-96,144,224.55,112.29
"37.25","-107.07",,,,
"37.25","-107.08",-96.5,288.485,,
"37.25","-107.09",,146.93,15.35,126.04
"37.25","-107.1",-93,224.71,231.43,121.72
"37.25","-107.17",-95,204,685.37,83.07
"37.25","-107.27",-75,281,,
"37.25","-107.57",-84,514.61,,
"37.25","-107.59",,258.835,738.155,739.585
"37.25","-107.6",,883,35.16,9.81
"37.25","-107.81",-76,107.96,834.33,465.34
"37.25","-107.83",-79,543,,
"37.25","-107.84",-86,201,,
"37.25","-107.85",-93,155.67,5765.94,5110.93
"37.25","-107.86",-74.5,,394.32,103.97
"37.25","-107.87",,,,
"37.25","-107.88",-91.5,466.3775,,
"37.25","-107.89",-100.6,,,
"37.25","-107.9",-99,,0,0
"37.25","-107.91",-101,215,,
"37.25","-107.92",-99.8,,,
"37.25","-107.93",,,,
"37.25","-108.5",,498.3,91.8,372.75
"37.25","-108.64",-98,167.04,1284.48,752.59
"37.26","-104.5",-85.25,255.3,,
"37.26","-105.96",-73,225.0666666667,476.4833333333,109.9433333333
"37.26","-106.99",,285.94,919.075,398.09
"37.26","-107",,227.1292682927,,
"37.26","-107.01",-87.58,264.619,,
"37.26","-107.02",-93.25,169.3775,1221.9225,196.1025
"37.26","-107.04",-93,171.4366666667,,
"37.26","-107.05",,209.3283333333,,
"37.26","-107.06",,389.062,374.796,272.944
"37.26","-107.07",-95.3333333333,,,
"37.26","-107.08",-91,182.34125,389.1125,223.9225
"37.26","-107.1",-95,220,174.68,76.86
"37.26","-107.59",,342.418,510.62,740.134
"37.26","-107.83",-95,109.03,1475.73,773.71
"37.26","-107.85",-92,197.5,,
"37.26","-107.87",,,,
"37.26","-107.88",,,,
"37.26","-107.89",,334.5233333333,,
"37.26","-107.9",,315.058,,
"37.26","-107.91",,,,
"37.26","-107.92",-96.2857142857,,,
"37.26","-107.93",,159.17,489.485,679.605
"37.26","-107.97",-72,340.73,814.9,1151.66
"37.26","-107.99",-96.25,213.2525,811.7275,781.7175
"37.26","-108.02",-88,238.69,715.63,408.74
"37.27","-103.11",-77,190.37,964.93,168.17
"37.27","-104.5",-76,190.6,877.97,191.94
"37.27","-105.96",-72,403.1,626.095,130.59
"37.27","-106.98",-96.5,1080.405,,
"37.27","-107.02",,567,115.68,0
"37.27","-107.03",-98,851.22,,
"37.27","-107.04",,409.0042857143,,
"37.27","-107.05",,189.535,,
"37.27","-107.06",-97,189.95,690.66,188.19
"37.27","-107.45",-111,,,
"37.27","-107.46",-75,274.39,,
"37.27","-107.54",-83,3633.01,82.06,12.29
"37.27","-107.8",-103,151.92,1561.39,156.77
"37.27","-107.85",-84.5,196.125,206.791,117.313
"37.27","-107.86",,220.5145454545,,
"37.27","-107.87",,,,
"37.27","-107.88",,,,
"37.27","-107.89",,,,
"37.27","-107.9",,287.8286538462,,
"37.27","-107.91",-91,,,
"37.27","-107.92",-93.3243243243,278.8337837838,,
"37.27","-107.93",,242.49,,
"37.27","-107.94",-86.2,260.394,1744.316,620.006
"37.27","-107.98",,186.63,207.15,215.91
"37.27","-108",-82.6666666667,213.81,1394.57,828.24
"37.27","-108.01",-85,359.59,1028.72,192.81
"37.28","-104.51",-79.2,229.36,647.688,168.234
"37.28","-106.97",,,526.91,341.31
"37.28","-106.98",-103,263.29,5898.29,1013.22
"37.28","-107.08",-90,179.6,173.55,317.84
"37.28","-107.47",-98,1072.11,166.19,98.56
"37.28","-107.48",,1342.8,29.77,0
"37.28","-107.49",-80,468.125,111.595,53.015
"37.28","-107.5",-94.5,498.15,69.885,10.05
"37.28","-107.51",,,268.03,462.5
"37.28","-107.53",-115,900.38,230.3,35.13
"37.28","-107.59",-93,300.86,282.29,33.43
"37.28","-107.69",-99,234,,
"37.28","-107.82",-111,305.55,674.11,95.13
"37.28","-107.84",-87.8333333333,236.29,,
"37.28","-107.85",,,,
"37.28","-107.86",,,,
"37.28","-107.87",,,,
"37.28","-107.88",,272.0259259259,,
"37.28","-107.89",-81,1802.69,12.2,4.43
"37.28","-107.9",-82,195.68,885.04,453.24
"37.28","-108.02",,278.926,1569.018,1324.864
"37.29","-104.52",-81,188,4282.03,145.56
"37.29","-106.69",-81,203,,
"37.29","-106.97",-98,172,,
"37.29","-107.59",-105,178.075,682.81,765.33
"37.29","-107.82",,191.7,4919.705,999.31
"37.29","-107.84",,,,
"37.29","-107.85",,,,
"37.29","-107.86",,,617.5855555556,383.6971428571
"37.29","-107.87",,,,
"37.29","-107.88",,,,
"37.29","-108.04",,251.286,1282.362,917.322
"37.29","-108.61",-72,788,,
"37.3","-104.53",-84,166,,
"37.3","-104.54",-72,223.5,350.695,200.235
"37.3","-106.96",-92,,,
"37.3","-106.97",-86,464.84,138.64,3.56
"37.3","-107.55",,,0,0
"37.3","-107.59",,868.3533333333,263.35,453.8733333333
"37.3","-107.78",,281.84,1502.45,0
"37.3","-107.8",,348.9633333333,5463.7733333333,1711.0766666667
"37.3","-107.81",-96.9090909091,,1817.4227272727,1259.8622727273
"37.3","-107.82",-98.8571428571,554.3442857143,1020.6914285714,189.6171428571
"37.3","-107.83",,,1380.54925,455.15125
"37.3","-107.84",,,1648.3489473684,372.94
"37.3","-107.85",,614.221,118.579,250.036
"37.3","-107.86",,264.9908695652,,
"37.3","-107.87",,,,
"37.3","-107.88",,,,
"37.3","-107.89",-113,218.21,939.21,720.08
"37.3","-108.05",-94,251.43,583.47,1598.23
"37.3","-108.06",-83.75,275.0825,1565.8775,1227.0175
"37.31","-104.54",-79.5,214.45,1325.9525,171.525
"37.31","-107.12",,579.4,126.71,0
"37.31","-107.58",,,65.8475,61.665
"37.31","-107.6",,293.565,512.6475,126.73
"37.31","-107.77",,,411.9392307692,208.1969230769
"37.31","-107.78",,,440.8381818182,100.0570454545
"37.31","-107.79",-99.375,388.75625,1038.455,446.35375
"37.31","-107.8",-96.3333333333,345.419047619,626.8885714286,136.209047619
"37.31","-107.81",-100,379.554,354.98,119.546
"37.31","-107.85",-83.5,331.13,,
"37.31","-107.86",,385.1166666667,,
"37.31","-108.06",-89.5,249.5,2200.375,1602.04
"37.31","-108.07",-84.5,212.7725,2077.1475,983.105
"37.31","-108.08",-63,,2162.78,603.72
"37.31","-108.6",-90,221.19,334.59,544.69
"37.31","-108.61",-70,199.61,811.7,765.07
"37.32","-104.08",,,1066.42,111.31
"37.32","-104.55",-121,1843.8,34.99,0
"37.32","-105.94",-85,722,87.17,0
"37.32","-106.96",-91.5,,,
"37.32","-107.12",,1235.84,49.276,24.196
"37.32","-107.58",-102,212.09,269.92,132.15
"37.32","-107.59",-84,236.805,639.035,352.225
"37.32","-107.6",,,462.0115,183.2135
"37.32","-107.61",,333.354,1049.681,355.437
"37.32","-107.62",-104,429.62,116.65,122.07
"37.32","-107.76",-106,232.2,137.88,148.22
"37.32","-107.79",-93,288.5,,
"37.32","-107.84",-98,164.72,9.62,70.8
"37.32","-107.85",,325.685,40.065,81.81
"37.32","-108.08",,200.46,986.78,774.69
"37.32","-108.09",,212.86,1989.66,1186.265
"37.32","-108.1",-74.3333333333,338.87,2222.4633333333,1281.18
"37.32","-108.11",-60,161.65,645.72,16.66
"37.32","-108.12",-95,277.68,112.3,172.9
"37.32","-108.13",-105.5,248.945,665.66,831.97
"37.32","-108.15",-90,986.7566666667,1122.83,917.19
"37.32","-108.17",-99.3333333333,209.5833333333,1438.8166666667,1411.3966666667
"37.32","-108.35",,221.745,375.7825,253.955
"37.32","-108.36",-72.5,411.655,1133.385,347.865
"37.33","-106.94",-105,338,,
"37.33","-106.95",-111,217,,
"37.33","-107.58",,273.615,796.13,500.9
"37.33","-107.59",-88.5,264.55,679.365,359.67
"37.33","-107.6",,245.29,385.14,41.34
"37.33","-107.63",,401.15,58.49,44.05
"37.33","-107.72",-106,127.55,144.62,156.88
"37.33","-107.73",-102,530.96,97.72,160.07
"37.33","-107.84",-93,121.76,373.23,235.03
"37.33","-107.85",-85.3333333333,248.16,,
"37.33","-108.17",-70,192.33,1235.745,948.315
"37.33","-108.18",,227.335,1390.6925,1185.225
"37.33","-108.19",-102,215.8,1929.11,1304.36
"37.33","-108.2",-92.4285714286,259.1071428571,532.9814285714,666.3485714286
"37.33","-108.21",,207.7525,1279.9425,1050.875
"37.33","-108.33",-91,236.34,1478.37,1198.34
"37.33","-108.35",-93,292,,
"37.33","-108.39",-60,231.2,451.8,120.84
"37.33","-108.4",-60,262.4,376.66,154.86
"37.33","-108.59",-91.9230769231,400.0769230769,,
"37.34","-104.57",-78.5,204.4,3197.125,197.525
"37.34","-106.92",-87,279.06,138.01,164.56
"37.34","-106.93",-89,272.72,366.35,183.62
"37.34","-107.01",-75,728,,
"37.34","-107.53",,262.45,1523.49,291.86
"37.34","-107.58",-76,320.91,41.34,395.73
"37.34","-107.63",-104,769.42,92.54,112.67
"37.34","-107.79",-101,262.46,229.39,37.22
"37.34","-107.84",-87,202.2266666667,1143.4,709.6766666667
"37.34","-107.85",-94.3333333333,299.3966666667,,
"37.34","-108.19",,182.71,1372.005,618.125
"37.34","-108.21",,228.7533333333,1151.64,1413.7333333333
"37.34","-108.26",-87.5,206.49,1792.505,900.52
"37.34","-108.27",-96,213.16,1455.3633333333,1079.8083333333
"37.34","-108.28",-85.4545454545,308.2272727273,805.3509090909,915.1318181818
"37.34","-108.29",-82,227.58,1886.44,1125.46
"37.34","-108.3",-93,295.83,2026.89,1504.81
"37.34","-108.31",-85,466.665,963.22,618.84
"37.34","-108.32",-89,206.2,246.91,69.29
"37.34","-108.41",-91,224.48,1145.76,392.55
"37.34","-108.47",,501.1666666667,500.35,398.5933333333
"37.34","-108.49",-84.5,431.47,1619.425,666.34
"37.34","-108.5",-90,357.74,125.25,128.83
"37.34","-108.56",,351.996,,
"37.34","-108.57",,299.2322222222,,
"37.34","-108.58",-84.9294871795,,,
"37.34","-108.59",-87.4830188679,,,
"37.35","-104.57",-88.5,236,289.945,118.08
"37.35","-104.58",-91,259.4,225.45,171.09
"37.35","-106.91",-100,3017.87,635.51,5.08
"37.35","-107.69",,,0,0
"37.35","-107.84",-65,250,,
"37.35","-107.85",-97.5,284.4425,,
"37.35","-108.21",-86,255.13,862.27,491.68
"37.35","-108.22",-78.6666666667,216.6383333333,772.5966666667,636.97
"37.35","-108.23",-88.25,199.6325,1782.7075,1046.9525
"37.35","-108.25",,,934.4366666667,859.32
"37.35","-108.26",,262.276,696.24,946.622
"37.35","-108.28",-120,256,917.47,1014.25
"37.35","-108.29",-117,242.66,684.52,1172.69
"37.35","-108.44",-86,258.134,189.938,107.97
"37.35","-108.45",-86,262.98,111.36,408.78
"37.35","-108.53",,194.4,3399.31,965.79
"37.35","-108.54",-86,483.02,34.06,920.12
"37.35","-108.55",-95.25,241.8425,445.8375,344.93
"37.35","-108.56",-93.5714285714,,,
"37.35","-108.57",,389.5908333333,,
"37.35","-108.58",-78.4166666667,391.7241666667,,
"37.35","-108.59",,,,
"37.36","-104.58",-67,231.135,921.78,862.72
"37.36","-105.92",-58.6666666667,294.8,642.7966666667,180.59
"37.36","-106.03",-84,795.3,302.535,117.895
"37.36","-107.85",-91.5,141.645,,
"37.36","-108.17",-84,146.9,202.55,142.7
"37.36","-108.24",-83.5,190.285,944.465,410.915
"37.36","-108.29",-80,265.35,375.82,444.57
"37.36","-108.3",-71,123.9,2373.45,223.4
"37.36","-108.57",-80,216.94,2063.73,1425.09
"37.36","-108.59",-75,,0,0
"37.36","-108.6",-75,229.025,,
"37.37","-104.6",-81,167,6028.71,149.76
"37.37","-105.1",-103,1245.01,17.7,1.67
"37.37","-105.92",-67,271.8,99.12,0
"37.37","-106.89",-49,190.8,1642.98,253.29
"37.37","-107.56",-97.75,740.25,27.1075,11.1075
"37.37","-107.84",-93,227,,
"37.37","-107.85",-95,,1042.91,183.29
"37.37","-107.9",-113,225.3333333333,,
"37.37","-108.3",-94,222.1266666667,1610.7033333333,834.2
"37.37","-108.6",-93,248.685,,
"37.37","-108.61",,254.12,1057.99,1171.37
"37.38","-104.6",-63,253.2,710.01,231.87
"37.38","-107.54",-93,1151.34,48.79,4.24
"37.38","-107.82",-101,166.59,144.8,118.55
"37.38","-107.83",-92,440.3966666667,430.0633333333,483.3266666667
"37.38","-107.84",-100.8,371.694,,
"37.38","-107.85",-60,257.73,544.21,273.97
"37.38","-108.31",-102.5,223.18,1744.375,1168.705
"37.38","-108.32",,242.4533333333,580.72,352.9533333333
"37.38","-108.33",-86.5,175.895,2566.735,1216.035
"37.38","-108.34",-94,182.08,1393.95,231.68
"37.38","-108.35",-109,187.38,1666.11,1201.98
"37.38","-108.57",-98,237.6,1720.71,1140.53
"37.38","-108.58",-91,448.86,1083.81,1173.16
"37.39","-104.61",-70.8333333333,480.0333333333,643.1866666667,133.5766666667
"37.39","-105.9",-64,237.4,1188.86,268.3
"37.39","-107.53",-93,733.04,0.63,0
"37.39","-107.56",-93.3333333333,492.5533333333,85.74,149.19
"37.39","-107.81",-99.6666666667,299,,
"37.39","-107.84",-94.3157894737,517.8178947368,,
"37.39","-108.59",,199.76,816.57,438.515
"37.39","-108.61",-70,201.46,1885.25,502.08
"37.4","-104.62",-70,195.4,,
"37.4","-105.9",-88,259.41,218.82,287.99
"37.4","-107.52",-104,245.18,0,0
"37.4","-107.83",-75,214,,
"37.4","-107.84",-84.5,191.01,,
"37.4","-108.36",-71,116.35,1509.18,1646.59
"37.41","-104.62",-81,168,5888.85,151.68
"37.41","-105.89",-69,231.4,1191.26,171.31
"37.41","-106.03",-87,195.3,312.315,205.085
"37.41","-106.89",-93.5,,,
"37.41","-107.83",,,,
"37.42","-104.63",-80,169.18,5913.5,1808.99
"37.42","-105.42",,,,
"37.42","-105.43",,199.79,2598.88,1266.09
"37.42","-105.45",,,2240.31,324.79
"37.42","-106.89",-107,,,
"37.42","-107.55",,211.18,457.27,778.48
"37.42","-107.81",-97,191.5,,
"37.42","-107.82",-103,3159.03,,
"37.42","-107.83",-98,141.29,7479.04,8222.06
"37.42","-107.84",-108,88.8,6611.94,747.44
"37.42","-108.36",-96,200.7,977.2,1030.58
"37.42","-108.37",-75,174.48,347.87,71.05
"37.42","-108.38",-96,254.11,705.14,194.81
"37.42","-108.39",-85,262.67,530.79,195.04
"37.42","-108.4",-88.3333333333,238.4866666667,996.1833333333,461.94
"37.42","-108.41",-91,263.17,316.06,214.79
"37.42","-108.42",-110.5,474.795,551.265,613.535
"37.43","-105.4",-96,354.98,968.41,183.59
"37.43","-105.46",,261.59,1958.65,1044.1
"37.43","-105.47",-105,269,,
"37.43","-105.48",-54,265.8,1260.34,265.32
"37.43","-105.49",-75.5,308.58,939.265,197.23
"37.43","-105.5",,173.13,1265.57,1063.97
"37.43","-105.51",,,582.0833333333,130.0966666667
"37.43","-105.88",-45,162,498.49,301.16
"37.43","-105.89",-65,268.8,1532.9,241.99
"37.43","-107.8",-105.5,141.955,2898.12,169.5
"37.43","-107.81",-97,233.685,,
"37.43","-108.43",-71,109.69,1191.12,1560.57
"37.43","-108.44",-90,235.49,247.23,97.77
"37.43","-108.45",-96,221.96,1493.57,511.16
"37.43","-108.46",-63,175.79,258.93,413.76
"37.43","-108.57",-111,201.38,374.91,387.07
"37.43","-108.64",-82.5,462.59,460.125,271.985
"37.44","-104.64",-81,170,5640.86,146.45
"37.44","-105.37",-96,176.51,2138.68,1200.18
